node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
PTPRC	CD79B	up	up	u	1.20172512661429	1.00804838586753	0.00111450258202015	0.0297983171385624	PTPRC|CD79B
IGLC6	CD79B	up	up	u	2.90550094438991	1.00804838586753	0.00115390168968066	0.0297983171385624	IGLC6|CD79B
IGLC2	CD79B	up	up	u	2.61101477021537	1.00804838586753	0.00245479150918301	0.0297983171385624	IGLC2|CD79B
CD5	CD79B	up	up	u	1.432054327607	1.00804838586753	0.00183737361688782	0.0297983171385624	CD5|CD79B
IGHV2-5	CD79B	up	up	u	1.19039662384072	1.00804838586753	0.0381957453086016	0.0297983171385624	IGHV2-5|CD79B
CD3D	CD8B	up	up	u	1.63685039987555	1.10046211396387	0.00111450258202015	0.0133145299277194	CD3D|CD8B
CD3G	CD8B	up	up	u	1.40689904296256	1.10046211396387	0.00468632321009627	0.0133145299277194	CD3G|CD8B
LCK	CD8B	up	up	u	1.23513728857034	1.10046211396387	0.00643223611569782	0.0133145299277194	LCK|CD8B
C3	CFH	up	up	u	1.32979191839762	1.06347664158953	0.00529636717469501	0.00328318509692725	C3|CFH
C3	CFHR3	up	up	u	1.32979191839762	1.01359656328959	0.00529636717469501	0.00529135424914815	C3|CFHR3
hsa-miR-125a-5p	CGN	up	down	o	1.68740999157085	-1.14745410552912	0.000733624510390954	0.00576709245147729	hsa-miR-125a-5p|CGN
hsa-miR-19a-3p	CGN	up	down	o	2.63769949808488	-1.14745410552912	2.85468252060469e-08	0.00576709245147729	hsa-miR-19a-3p|CGN
hsa-miR-19b-3p	CGN	up	down	o	2.56306903886971	-1.14745410552912	2.7041434800811e-07	0.00576709245147729	hsa-miR-19b-3p|CGN
hsa-miR-320b	CHST8	up	down	o	1.35910833364961	-2.12072402340052	0.010754973667569	0.0408807925803033	hsa-miR-320b|CHST8
SULT2B1	CHST8	down	down	d	-1.2072424847737	-2.12072402340052	0.0149017634027166	0.0408807925803033	SULT2B1|CHST8
C3	CR2	up	up	u	1.32979191839762	1.50802937837098	0.00529636717469501	0.0180144679352645	C3|CR2
CD19	CR2	up	up	u	2.40168509415101	1.50802937837098	0.00070356196373004	0.0180144679352645	CD19|CR2
CCL21	CXCL13	up	up	u	1.43075326315072	2.87181181416536	0.0483128574181585	0.000754528324868007	CCL21|CXCL13
hsa-miR-494-3p	CXCL13	down	up	o	-2.33786094593974	2.87181181416536	5.62113054088687e-05	0.000754528324868007	hsa-miR-494-3p|CXCL13
CXCR6	CXCL13	up	up	u	1.1516434543097	2.87181181416536	0.0110065042640036	0.000754528324868007	CXCR6|CXCL13
CXCL13	CXCL9	up	up	u	2.87181181416536	1.6884291947666	0.000754528324868007	0.0116897546575383	CXCL13|CXCL9
CCL21	CXCL9	up	up	u	1.43075326315072	1.6884291947666	0.0483128574181585	0.0116897546575383	CCL21|CXCL9
CXCR6	CXCL9	up	up	u	1.1516434543097	1.6884291947666	0.0110065042640036	0.0116897546575383	CXCR6|CXCL9
CCL5	CXCL9	up	up	u	1.4934479397018	1.6884291947666	0.00506774710417861	0.0116897546575383	CCL5|CXCL9
CCR5	CXCL9	up	up	u	1.03001645278962	1.6884291947666	0.0250791698963566	0.0116897546575383	CCR5|CXCL9
CXCR5	CXCL9	up	up	u	1.26639563491093	1.6884291947666	0.00687592970680264	0.0116897546575383	CXCR5|CXCL9
CCR7	CXCL9	up	up	u	1.94989783008129	1.6884291947666	0.00175911697349956	0.0116897546575383	CCR7|CXCL9
S1PR4	CXCL9	up	up	u	1.67275662753577	1.6884291947666	0.000619822504735688	0.0116897546575383	S1PR4|CXCL9
C3	CXCL9	up	up	u	1.32979191839762	1.6884291947666	0.00529636717469501	0.0116897546575383	C3|CXCL9
NPY1R	CXCL9	down	up	o	-2.83505468810876	1.6884291947666	0.00761559730543996	0.0116897546575383	NPY1R|CXCL9
CXCL13	CXCR5	up	up	u	2.87181181416536	1.26639563491093	0.000754528324868007	0.00687592970680264	CXCL13|CXCR5
CCL5	CXCR5	up	up	u	1.4934479397018	1.26639563491093	0.00506774710417861	0.00687592970680264	CCL5|CXCR5
S1PR4	CXCR5	up	up	u	1.67275662753577	1.26639563491093	0.000619822504735688	0.00687592970680264	S1PR4|CXCR5
NPY1R	CXCR5	down	up	o	-2.83505468810876	1.26639563491093	0.00761559730543996	0.00687592970680264	NPY1R|CXCR5
hsa-miR-494-3p	CXCR5	down	up	o	-2.33786094593974	1.26639563491093	5.62113054088687e-05	0.00687592970680264	hsa-miR-494-3p|CXCR5
C3	CXCR5	up	up	u	1.32979191839762	1.26639563491093	0.00529636717469501	0.00687592970680264	C3|CXCR5
CCL21	CXCR5	up	up	u	1.43075326315072	1.26639563491093	0.0483128574181585	0.00687592970680264	CCL21|CXCR5
CCR7	CXCR5	up	up	u	1.94989783008129	1.26639563491093	0.00175911697349956	0.00687592970680264	CCR7|CXCR5
CXCR6	CXCR5	up	up	u	1.1516434543097	1.26639563491093	0.0110065042640036	0.00687592970680264	CXCR6|CXCR5
hsa-miR-30d-5p	DOC2A	up	down	o	3.16836275557492	-1.24504395976904	1.03762417277069e-07	0.00717688072334309	hsa-miR-30d-5p|DOC2A
hsa-miR-30a-5p	DOC2A	up	down	o	1.46406894643764	-1.24504395976904	0.000490003633773429	0.00717688072334309	hsa-miR-30a-5p|DOC2A
hsa-miR-30b-5p	DOC2A	up	down	o	3.20598900692799	-1.24504395976904	8.91152716647548e-11	0.00717688072334309	hsa-miR-30b-5p|DOC2A
hsa-miR-30c-5p	DOC2A	up	down	o	3.44941232364504	-1.24504395976904	1.02125156851083e-10	0.00717688072334309	hsa-miR-30c-5p|DOC2A
LCP1	EEF1A2	up	down	o	1.01160249592574	-3.16921046006367	0.0164288475079031	0.00562936369936834	LCP1|EEF1A2
hsa-miR-17-5p	ESR1	up	down	o	7.72607561490113	-1.61349073006713	8.42790169517066e-17	0.00179990088267055	hsa-miR-17-5p|ESR1
hsa-miR-130b-3p	ESR1	up	down	o	1.98140856193589	-1.61349073006713	1.1976390859012e-05	0.00179990088267055	hsa-miR-130b-3p|ESR1
hsa-miR-106b-5p	ESR1	up	down	o	2.30723835627468	-1.61349073006713	9.41435398421369e-09	0.00179990088267055	hsa-miR-106b-5p|ESR1
hsa-miR-130a-3p	ESR1	up	down	o	4.81665550802557	-1.61349073006713	1.17734008840052e-09	0.00179990088267055	hsa-miR-130a-3p|ESR1
hsa-miR-330-3p	ESR1	up	down	o	2.00956361925975	-1.61349073006713	1.91899091014658e-06	0.00179990088267055	hsa-miR-330-3p|ESR1
hsa-miR-221-3p	ESR1	up	down	o	2.43421120327137	-1.61349073006713	1.28106882081471e-05	0.00179990088267055	hsa-miR-221-3p|ESR1
hsa-miR-148a-3p	ESR1	up	down	o	2.57322363196649	-1.61349073006713	0.00323158006273772	0.00179990088267055	hsa-miR-148a-3p|ESR1
hsa-miR-106a-5p	ESR1	up	down	o	4.34717349894865	-1.61349073006713	1.66642512358709e-11	0.00179990088267055	hsa-miR-106a-5p|ESR1
hsa-miR-410-3p	ESR1	up	down	o	1.26190059312711	-1.61349073006713	0.0235738414183567	0.00179990088267055	hsa-miR-410-3p|ESR1
hsa-miR-335-5p	ESR1	up	down	o	1.30724975040075	-1.61349073006713	0.00305466145203036	0.00179990088267055	hsa-miR-335-5p|ESR1
hsa-miR-20b-5p	ESR1	up	down	o	4.44689665014361	-1.61349073006713	3.35177105090826e-13	0.00179990088267055	hsa-miR-20b-5p|ESR1
