Gene.Symbol	Freq	Rank.Muts
WDR72	88	15239.5
ABLIM3	87	15228.5
AKT3	87	15228.5
ARHGAP15	87	15228.5
ARPP21	87	15228.5
DOCK2	87	15228.5
EPHB1	87	15228.5
INTS2	87	15228.5
MICAL2	87	15228.5
SPATS2L	87	15228.5
TECTA	87	15228.5
TRERF1	87	15228.5
USP19	87	15228.5
ABI2	86	15215.5
ATF2	86	15215.5
BRWD1	86	15215.5
CBLB	86	15215.5
DHX30	86	15215.5
HDAC6	86	15215.5
ITGB2	86	15215.5
MAST4	86	15215.5
NOTCH2	86	15215.5
PTPRA	86	15215.5
RAD51B	86	15215.5
RICTOR	86	15215.5
TBC1D5	86	15215.5
WNK3	86	15215.5
AHDC1	85	15205
APBA2	85	15205
DCX	85	15205
EIF4G3	85	15205
ITGA6	85	15205
LPP	85	15205
SYNJ1	85	15205
AP1B1	84	15188.5
ASH1L	84	15188.5
ASPM	84	15188.5
CIRBP	84	15188.5
CNOT1	84	15188.5
EZH2	84	15188.5
FAM184A	84	15188.5
FLII	84	15188.5
FOLH1	84	15188.5
FRYL	84	15188.5
IDH1	84	15188.5
KCNA2	84	15188.5
LDLR	84	15188.5
MAP7	84	15188.5
NFATC2	84	15188.5
NTRK1	84	15188.5
PORCN	84	15188.5
PREPL	84	15188.5
PTPRG	84	15188.5
RFX3	84	15188.5
RHOA	84	15188.5
RNF220	84	15188.5
SCN7A	84	15188.5
STXBP5L	84	15188.5
TEK	84	15188.5
YY1AP1	84	15188.5
ACAN	83	15171
AF241726.2	83	15171
BDNF	83	15171
BTK	83	15171
CEP112	83	15171
KCNQ3	83	15171
PCDHGB1	83	15171
RNF43	83	15171
THADA	83	15171
ADAMTSL1	82	15156
ATP2C1	82	15156
ATXN7	82	15156
BCL2L13	82	15156
CASR	82	15156
CIC	82	15156
EYS	82	15156
IGF1	82	15156
LTBP1	82	15156
MCF2	82	15156
MYO1C	82	15156
NEXMIF	82	15156
NFAT5	82	15156
PCM1	82	15156
PKHD1	82	15156
RABGAP1L	82	15156
RGS3	82	15156
SPG7	82	15156
TENM3	82	15156
TNR	82	15156
ZMIZ2	82	15156
CDH18	81	15138.5
COL13A1	81	15138.5
DHDDS	81	15138.5
HIVEP2	81	15138.5
KIRREL1	81	15138.5
MGAM	81	15138.5
MYH13	81	15138.5
NFE2L2	81	15138.5
P2RX2	81	15138.5
PTK2	81	15138.5
RAP1B	81	15138.5
SPG11	81	15138.5
TPM1	81	15138.5
TRPC3	81	15138.5
ABR	80	15117
AGTPBP1	80	15117
ANAPC11	80	15117
CACNA1H	80	15117
CHD6	80	15117
CLTC	80	15117
DDR2	80	15117
DMXL1	80	15117
DPP6	80	15117
DSP	80	15117
FAM107B	80	15117
FMN1	80	15117
GTF2IRD1	80	15117
HNRNPC	80	15117
KCNH7	80	15117
KDM4C	80	15117
LRP2	80	15117
MRVI1	80	15117
POLR1B	80	15117
PRDM1	80	15117
RIPOR1	80	15117
SIN3A	80	15117
TENM4	80	15117
TNPO3	80	15117
TOX3	80	15117
UNC5C	80	15117
USP39	80	15117
ZNF407	80	15117
ZNF438	80	15117
CALD1	79	15096
EFHC1	79	15096
EPB41L3	79	15096
FREM1	79	15096
GNE	79	15096
ITSN2	79	15096
NAV1	79	15096
PIK3R3	79	15096
PPARG	79	15096
RAPGEF2	79	15096
SGIP1	79	15096
SVEP1	79	15096
USP45	79	15096
ALDH1L1	78	15078
APBB1	78	15078
ARAP3	78	15078
ARMC8	78	15078
CEP78	78	15078
COL4A3BP	78	15078
CPEB2	78	15078
DGKZ	78	15078
DOP1A	78	15078
DSCAM	78	15078
FDFT1	78	15078
FRAS1	78	15078
HYDIN	78	15078
LAMA3	78	15078
NOS1	78	15078
PDE9A	78	15078
PHLDB1	78	15078
PPARGC1A	78	15078
PRKD1	78	15078
SLC8A3	78	15078
SMG7	78	15078
SUPT20H	78	15078
ZC3H11A	78	15078
ABCB1	77	15056.5
ABCC4	77	15056.5
AFF3	77	15056.5
ANO4	77	15056.5
BTBD11	77	15056.5
CTNND2	77	15056.5
HEATR1	77	15056.5
HNRNPR	77	15056.5
MAP2K5	77	15056.5
NOX4	77	15056.5
OSBPL3	77	15056.5
PAM	77	15056.5
PHF8	77	15056.5
PLEKHA6	77	15056.5
RC3H2	77	15056.5
SEC14L1	77	15056.5
SLC4A11	77	15056.5
SON	77	15056.5
TSC22D3	77	15056.5
USP9X	77	15056.5
ACLY	76	15037
BTBD8	76	15037
CCAR1	76	15037
DNAH2	76	15037
DSCAML1	76	15037
ERC2	76	15037
FIGN	76	15037
HSPA8	76	15037
KLC1	76	15037
KLC2	76	15037
MSH2	76	15037
MYOM1	76	15037
NSD2	76	15037
PATJ	76	15037
PTPRU	76	15037
SENP7	76	15037
TLN2	76	15037
USP28	76	15037
WAC	76	15037
CDC14A	75	15015.5
CKAP5	75	15015.5
DAAM2	75	15015.5
DOCK4	75	15015.5
DPP8	75	15015.5
ECT2	75	15015.5
ENOX2	75	15015.5
FBN3	75	15015.5
FHIT	75	15015.5
KIF26B	75	15015.5
MED12L	75	15015.5
PAK5	75	15015.5
PCDHA3	75	15015.5
PHKA1	75	15015.5
PIK3CD	75	15015.5
PLEKHA5	75	15015.5
R3HDM2	75	15015.5
RAI2	75	15015.5
RALGPS1	75	15015.5
RREB1	75	15015.5
SHANK1	75	15015.5
SYT6	75	15015.5
VIT	75	15015.5
VPS8	75	15015.5
AGL	74	14992.5
CASZ1	74	14992.5
CPS1	74	14992.5
DIDO1	74	14992.5
EML5	74	14992.5
FILIP1L	74	14992.5
FRMPD4	74	14992.5
HNRNPU	74	14992.5
IGF1R	74	14992.5
IL1RAPL1	74	14992.5
MEGF10	74	14992.5
PARP8	74	14992.5
PHACTR3	74	14992.5
PLD5	74	14992.5
ROS1	74	14992.5
SLC13A3	74	14992.5
SMG1	74	14992.5
SRGAP1	74	14992.5
TFDP2	74	14992.5
UNC13B	74	14992.5
USP33	74	14992.5
ZNF207	74	14992.5
ANKRD6	73	14974.5
ARHGEF2	73	14974.5
CHD3	73	14974.5
CUL3	73	14974.5
EIF4G2	73	14974.5
IFFO1	73	14974.5
KAT7	73	14974.5
PCDHGA5	73	14974.5
PCSK6	73	14974.5
RBM6	73	14974.5
TANC2	73	14974.5
TXNRD1	73	14974.5
YTHDF3	73	14974.5
ZNF711	73	14974.5
ABCB4	72	14953.5
ABI1	72	14953.5
ACSL6	72	14953.5
ACTN2	72	14953.5
ADD1	72	14953.5
ARHGAP21	72	14953.5
ATXN3	72	14953.5
BCAR1	72	14953.5
CAMK2D	72	14953.5
CDK11B	72	14953.5
CDKL5	72	14953.5
GOLGB1	72	14953.5
IKBKB	72	14953.5
IKZF2	72	14953.5
IQCJ-SCHIP1	72	14953.5
MAPT	72	14953.5
MME	72	14953.5
MYT1	72	14953.5
NR1I3	72	14953.5
PKM	72	14953.5
PRKD2	72	14953.5
PTPRF	72	14953.5
SCAPER	72	14953.5
