Gene.Symbol	Total.CN.Gain	Total.CN.Loss	Total.CN	Rank.CN
NPIPB7	488	18	506	14453
NUPR1	488	18	506	14453
VSTM2L	496	10	506	14453
ATP6V0B	470	35	505	14446
PHF6	390	115	505	14446
RPS29	465	40	505	14446
SIRT1	485	20	505	14446
ZNF343	500	5	505	14446
ADIG	494	10	504	14433
AHCYL2	460	44	504	14433
ATXN7L1	442	62	504	14433
CGA	408	96	504	14433
COPE	500	4	504	14433
ETV6	497	7	504	14433
GAL3ST1	336	168	504	14433
GGA2	498	6	504	14433
KRT27	500	4	504	14433
NUMB	210	294	504	14433
PAF1	492	12	504	14433
PRPS1	372	132	504	14433
PSMB5	456	48	504	14433
RNASE11	432	72	504	14433
SHROOM3	482	22	504	14433
SLC25A14	354	150	504	14433
TSPAN16	480	24	504	14433
VIPR2	464	40	504	14433
VWA3A	494	10	504	14433
ZCCHC10	315	189	504	14433
ZFP36	492	12	504	14433
ATL2	491	12	503	14420.5
LCE1B	503	0	503	14420.5
NFE2L2	458	45	503	14420.5
PRH1	489	14	503	14420.5
C1orf68	497	5	502	14415.5
CRYM	492	10	502	14415.5
IQGAP1	482	20	502	14415.5
ZNF705A	490	12	502	14415.5
ZP2	492	10	502	14415.5
DAD1	468	33	501	14410
GREB1	441	60	501	14410
ICAM4	483	18	501	14410
TRIM49D1	432	69	501	14410
UBE2L5	435	66	501	14410
ADGRE1	450	50	500	14399.5
CCDC158	480	20	500	14399.5
CIB2	464	36	500	14399.5
CYP4F3	468	32	500	14399.5
HSPB11	480	20	500	14399.5
KIAA1328	430	70	500	14399.5
LMX1B	456	44	500	14399.5
MAMLD1	400	100	500	14399.5
METAP2	395	105	500	14399.5
NOL4L	490	10	500	14399.5
PEX6	484	16	500	14399.5
RNMT	450	50	500	14399.5
SDF2	496	4	500	14399.5
SFI1	335	165	500	14399.5
SLC25A45	465	35	500	14399.5
ZNF644	440	60	500	14399.5
ANKRD55	392	107	499	14390.5
S100B	484	15	499	14390.5
ACHE	420	78	498	14380
ADAMTS20	473	25	498	14380
APBB3	330	168	498	14380
CIAPIN1	336	162	498	14380
CMIP	270	228	498	14380
DYNLRB1	483	15	498	14380
GTF2H1	462	36	498	14380
KIAA0513	342	156	498	14380
LGSN	471	27	498	14380
MAP1LC3A	483	15	498	14380
MARVELD2	312	186	498	14380
NPHP1	444	54	498	14380
OR7A17	480	18	498	14380
OXCT1	486	12	498	14380
SATB2	456	42	498	14380
SMIM26	492	6	498	14380
TAPBPL	492	6	498	14380
TARSL2	474	24	498	14380
TMED1	480	18	498	14380
ARFGEF2	488	9	497	14369
FPGT-TNNI3K	453	44	497	14369
PSME3	392	105	497	14369
AC092647.5	491	5	496	14363
GUCY1A1	336	160	496	14363
LDB3	424	72	496	14363
NPIPB9	478	18	496	14363
PLSCR2	464	32	496	14363
RNF135	464	32	496	14363
RPA3	468	28	496	14363
TMEM14C	480	16	496	14363
BCL2L13	242	253	495	14353
ESR2	351	144	495	14353
FAT3	420	75	495	14353
MGLL	435	60	495	14353
PINLYP	455	40	495	14353
PLS3	385	110	495	14353
STAT3	430	65	495	14353
TBC1D22A	330	165	495	14353
TBPL1	429	66	495	14353
VAV1	450	45	495	14353
WIPI2	470	25	495	14353
CEP83	410	84	494	14344.5
ERN2	482	12	494	14344.5
KIAA1755	484	10	494	14344.5
L3MBTL4	450	44	494	14344.5
PALB2	482	12	494	14344.5
GABRA2	343	150	493	14341
APOBEC3H	270	222	492	14328.5
BLM	472	20	492	14328.5
CATSPERG	480	12	492	14328.5
CD300LG	408	84	492	14328.5
DLL3	480	12	492	14328.5
GPR18	405	87	492	14328.5
KRT12	488	4	492	14328.5
NPIPB11	486	6	492	14328.5
NPIPB12	486	6	492	14328.5
NPIPB3	482	10	492	14328.5
NUDT1	468	24	492	14328.5
PLXNC1	429	63	492	14328.5
PTPRS	444	48	492	14328.5
RAPGEF3	432	60	492	14328.5
SIGLEC7	465	27	492	14328.5
SLX1B	486	6	492	14328.5
SMC4	436	56	492	14328.5
SULT1A4	486	6	492	14328.5
TIGAR	482	10	492	14328.5
TTC26	450	42	492	14328.5
TYRP1	448	44	492	14328.5
XG	384	108	492	14328.5
PLEKHB2	419	72	491	14316
CASP10	434	56	490	14307.5
CASP8	434	56	490	14307.5
CDKN1A	485	5	490	14307.5
CGGBP1	462	28	490	14307.5
CYP1A1	420	70	490	14307.5
HYI	455	35	490	14307.5
PPT1	455	35	490	14307.5
PTPRQ	433	57	490	14307.5
RETREG1	484	6	490	14307.5
RPL37A	406	84	490	14307.5
SLC1A7	465	25	490	14307.5
SNX1	430	60	490	14307.5
TOM1	320	170	490	14307.5
ZNF774	470	20	490	14307.5
ZNF781	478	12	490	14307.5
AFDN	286	203	489	14293
F10	432	57	489	14293
F7	432	57	489	14293
FIBP	468	21	489	14293
NPY	480	9	489	14293
PNN	459	30	489	14293
PRSS51	273	216	489	14293
RELCH	429	60	489	14293
TBC1D3	478	11	489	14293
TBC1D3C	478	11	489	14293
TBC1D3D	478	11	489	14293
TBC1D3E	478	11	489	14293
TINAG	456	33	489	14293
AP5S1	484	4	488	14282
ATP5F1A	424	64	488	14282
ECI2	448	40	488	14282
FAM229B	434	54	488	14282
MAST4	248	240	488	14282
TROAP	392	96	488	14282
VPS26A	460	28	488	14282
ZNF407	400	88	488	14282
COL4A1	441	46	487	14276
PLOD2	443	44	487	14276
SCAF11	447	40	487	14276
C20orf96	477	9	486	14271
CENPK	306	180	486	14271
FTH1	426	60	486	14271
P4HA2	324	162	486	14271
TMED4	477	9	486	14271
TP53INP2	476	10	486	14271
USP29	450	36	486	14271
ELP3	155	330	485	14264
IDH3G	380	105	485	14264
KRT28	481	4	485	14264
MAP3K7	355	130	485	14264
STAG3	430	55	485	14264
TAF6	430	55	485	14264
TMPRSS6	315	170	485	14264
AKAP10	434	50	484	14253
BRD1	372	112	484	14253
C2orf88	464	20	484	14253
CXorf40B	388	96	484	14253
DSCAM	465	19	484	14253
ERGIC1	384	100	484	14253
FBXO17	472	12	484	14253
IFNL3	472	12	484	14253
KHDC1	416	68	484	14253
LDLRAD1	456	28	484	14253
MKRN1	456	28	484	14253
MROH7	456	28	484	14253
NFRKB	360	124	484	14253
SERINC3	470	14	484	14253
TMEM185A	388	96	484	14253
ANAPC16	468	15	483	14240
ATF5	459	24	483	14240
CCDC126	468	15	483	14240
IL4I1	459	24	483	14240
NFIC	399	84	483	14240
PHF3	456	27	483	14240
PRPF6	476	7	483	14240
RTN3	434	49	483	14240
TBC1D17	459	24	483	14240
ZNF619	371	112	483	14240
A2ML1	468	14	482	14230
CBX4	438	44	482	14230
LCE1C	480	2	482	14230
NFYA	466	16	482	14230
OPCML	318	164	482	14230
RPN2	472	10	482	14230
SNRPB2	480	2	482	14230
TBC1D32	432	50	482	14230
TICRR	460	22	482	14230
STX3	431	50	481	14225
ATPAF1	450	30	480	14208.5
CAPSL	471	9	480	14208.5
CBLN2	400	80	480	14208.5
CLP1	460	20	480	14208.5
CUL1	444	36	480	14208.5
DDHD1	448	32	480	14208.5
DHRS2	438	42	480	14208.5
DRC3	368	112	480	14208.5
EEF1A1	395	85	480	14208.5
FBXW7	322	158	480	14208.5
FGD5	462	18	480	14208.5
FTCD	460	20	480	14208.5
GPN1	448	32	480	14208.5
HAO2	468	12	480	14208.5
LONP1	440	40	480	14208.5
LSS	460	20	480	14208.5
MITF	270	210	480	14208.5
MPP4	408	72	480	14208.5
MTMR2	376	104	480	14208.5
NANOG	468	12	480	14208.5
NANOGNB	468	12	480	14208.5
NWD1	452	28	480	14208.5
RHOC	424	56	480	14208.5
RNF166	250	230	480	14208.5
RPL36	440	40	480	14208.5
RYR3	370	110	480	14208.5
SELENOH	465	15	480	14208.5
SELENOP	468	12	480	14208.5
SH2D3C	414	66	480	14208.5
SUMO1	408	72	480	14208.5
TMUB1	440	40	480	14208.5
EIF2S3B	464	14	478	14191
LCE2D	473	5	478	14191
SIN3B	452	26	478	14191
ARID1B	238	239	477	14185.5
HIVEP2	399	78	477	14185.5
KLK10	459	18	477	14185.5
KLK7	459	18	477	14185.5
MTURN	468	9	477	14185.5
MYO9B	462	15	477	14185.5
NCAPG2	444	33	477	14185.5
WIPF3	468	9	477	14185.5
AGAP2	450	26	476	14173
ATN1	470	6	476	14173
C18orf21	424	52	476	14173
CLCC1	420	56	476	14173
CRELD2	364	112	476	14173
GABRB2	245	231	476	14173
GATD3A	452	24	476	14173
MARCH9	450	26	476	14173
NETO2	432	44	476	14173
POLE2	444	32	476	14173
RNF145	245	231	476	14173
RPRD1A	424	52	476	14173
TRAPPC3	441	35	476	14173
USP31	470	6	476	14173
YBX3	462	14	476	14173
ZNF426	452	24	476	14173
AMOT	375	100	475	14161.5
BMX	380	95	475	14161.5
NOX5	430	45	475	14161.5
PPARD	470	5	475	14161.5
PXYLP1	425	50	475	14161.5
TNFRSF6B	459	16	475	14161.5
ACP7	462	12	474	14147
AIFM2	444	30	474	14147
ANGPTL6	456	18	474	14147
C17orf75	458	16	474	14147
C19orf66	456	18	474	14147
CHRNA1	438	36	474	14147
DMXL2	420	54	474	14147
FANCA	210	264	474	14147
FARS2	454	20	474	14147
GATAD2A	471	3	474	14147
ISG20	444	30	474	14147
KLRC3	460	14	474	14147
LSM14A	465	9	474	14147
NAT2	338	136	474	14147
NDUFA13	471	3	474	14147
PIGG	336	138	474	14147
PREX1	467	7	474	14147
PRR5	288	186	474	14147
RXYLT1	452	22	474	14147
SH2D4A	273	201	474	14147
TUBB3	210	264	474	14147
ZSCAN26	450	24	474	14147
ZSCAN31	450	24	474	14147
GRAP	377	96	473	14132.5
LCE2A	468	5	473	14132.5
LCE2B	468	5	473	14132.5
LCE2C	468	5	473	14132.5
LZTS1	188	285	473	14132.5
ZNF765	443	30	473	14132.5
ABCB9	264	208	472	14119.5
AC005726.1	468	4	472	14119.5
AL121845.2	456	16	472	14119.5
ATP1A3	440	32	472	14119.5
CCDC136	424	48	472	14119.5
CYB5A	384	88	472	14119.5
DGKZ	456	16	472	14119.5
HLA-DRB1	468	4	472	14119.5
HLA-DRB5	468	4	472	14119.5
MPRIP	388	84	472	14119.5
OGFOD2	264	208	472	14119.5
PRH2	458	14	472	14119.5
SGK494	468	4	472	14119.5
SLC2A4RG	456	16	472	14119.5
SLC6A15	380	92	472	14119.5
SMIM7	444	28	472	14119.5
SOX18	465	7	472	14119.5
SPAG5	468	4	472	14119.5
TTC33	460	12	472	14119.5
AP1M1	439	32	471	14106.5
COPS3	390	81	471	14106.5
ECT2L	393	78	471	14106.5
KRT10	467	4	471	14106.5
SYCE1	383	88	471	14106.5
TBC1D5	419	52	471	14106.5
CD63	340	130	470	14098
GSTM1	430	40	470	14098
KCNJ1	315	155	470	14098
M6PR	456	14	470	14098
NAIP	315	155	470	14098
NUP54	450	20	470	14098
RABEPK	405	65	470	14098
RPL36A	360	110	470	14098
TSPAN4	350	120	470	14098
XBP1	320	150	470	14098
ADPRHL1	412	57	469	14090.5
GNE	469	0	469	14090.5
HPGD	273	196	469	14090.5
ZNF792	459	10	469	14090.5
BCOR	306	162	468	14079
C19orf47	456	12	468	14079
DICER1	324	144	468	14079
FBXO9	435	33	468	14079
GEMIN2	432	36	468	14079
GRIA3	330	138	468	14079
LIN54	396	72	468	14079
PBLD	448	20	468	14079
PMIS2	458	10	468	14079
PRKCSH	444	24	468	14079
RAPGEF4	420	48	468	14079
RTKN2	444	24	468	14079
SEMA6D	306	162	468	14079
SVOPL	440	28	468	14079
TNNT3	312	156	468	14079
TREML4	450	18	468	14079
UMAD1	447	21	468	14079
XRCC6	246	222	468	14079
ZC3HC1	424	44	468	14079
LCE3A	462	5	467	14068
OSBPL1A	417	50	467	14068
SRMS	451	16	467	14068
ABHD2	442	24	466	14062.5
ADGRF1	444	22	466	14062.5
C20orf204	459	7	466	14062.5
CNPY3	450	16	466	14062.5
ELMO1	445	21	466	14062.5
STAT4	439	27	466	14062.5
AC005697.1	459	6	465	14051
ASB11	375	90	465	14051
CNTNAP2	438	27	465	14051
FKBP6	456	9	465	14051
ITCH	450	15	465	14051
KLHDC4	250	215	465	14051
NR1I2	405	60	465	14051
SNAPC5	430	35	465	14051
SNCB	360	105	465	14051
SPAM1	370	95	465	14051
SYNE2	337	128	465	14051
TESPA1	395	70	465	14051
TRHDE	451	14	465	14051
TSPAN17	360	105	465	14051
ZWILCH	430	35	465	14051
CD200R1L	424	40	464	14039
CLTA	464	0	464	14039
MYO3A	456	8	464	14039
STX1A	452	12	464	14039
TMEM132E	444	20	464	14039
TMPRSS5	208	256	464	14039
ZBTB14	400	64	464	14039
ZNF845	434	30	464	14039
TMPRSS4	218	245	463	14034
AICDA	448	14	462	14021
C19orf57	444	18	462	14021
CEMIP	435	27	462	14021
CENPM	246	216	462	14021
CHRNA7	336	126	462	14021
EDA	322	140	462	14021
FOXJ2	450	12	462	14021
GLRA2	372	90	462	14021
GPER1	432	30	462	14021
HOXA1	453	9	462	14021
HOXA10	453	9	462	14021
HOXA3	453	9	462	14021
HOXA4	453	9	462	14021
ILVBL	450	12	462	14021
KIAA0586	384	78	462	14021
MOBP	350	112	462	14021
MOSPD2	372	90	462	14021
PTGS1	384	78	462	14021
RBL1	452	10	462	14021
RCCD1	432	30	462	14021
SRP19	259	203	462	14021
TMEM161B	270	192	462	14021
UNC45A	432	30	462	14021
VPS29	273	189	462	14021
C6orf132	445	16	461	14007
RNF122	407	54	461	14007
SGIP1	424	37	461	14007
ANKRD49	360	100	460	13994
ARHGAP6	326	134	460	13994
CCDC120	370	90	460	13994
CD276	415	45	460	13994
CLSTN3	448	12	460	13994
DPP8	415	45	460	13994
ENOX2	335	125	460	13994
EXT2	452	8	460	13994
LGALS9C	352	108	460	13994
MAGEB16	310	150	460	13994
MAGIX	370	90	460	13994
MDFI	444	16	460	13994
NPBWR2	453	7	460	13994
ORMDL1	440	20	460	13994
OTUD5	370	90	460	13994
PLEKHG4B	456	4	460	13994
RBP5	448	12	460	13994
SCARB1	325	135	460	13994
SCN1A	360	100	460	13994
SDCBP2	452	8	460	13994
SEMA3E	432	28	460	13994
SERF2	270	190	460	13994
SMIM8	300	160	460	13994
GAS7	117	342	459	13980.5
GFM1	429	30	459	13980.5
GOPC	390	69	459	13980.5
TMCO3	402	57	459	13980.5
CCR6	342	116	458	13974.5
FREM1	399	59	458	13974.5
GPC6	404	54	458	13974.5
KRTDAP	448	10	458	13974.5
NAXD	416	42	458	13974.5
OR1I1	446	12	458	13974.5
RHOBTB1	442	16	458	13974.5
SBSN	448	10	458	13974.5
MMP2	381	76	457	13970
CBX2	412	44	456	13957
CCDC28A	378	78	456	13957
CSGALNACT1	246	210	456	13957
DEFB108B	446	10	456	13957
DEFB131B	446	10	456	13957
DNAJC5	440	16	456	13957
EFCAB13	418	38	456	13957
GZMH	414	42	456	13957
HAUS8	441	15	456	13957
KCNK7	428	28	456	13957
KLRK1	442	14	456	13957
MARK4	420	36	456	13957
MRS2	432	24	456	13957
MYL12B	392	64	456	13957
MYO6	324	132	456	13957
NMD3	414	42	456	13957
P3H2	436	20	456	13957
PDE8B	264	192	456	13957
PDIA6	414	42	456	13957
PPIP5K1	304	152	456	13957
QKI	270	186	456	13957
RPS10	432	24	456	13957
SERAC1	224	232	456	13957
SSSCA1	428	28	456	13957
BRDT	395	60	455	13937.5
CNTRL	364	91	455	13937.5
DDX19B	252	203	455	13937.5
FPGT	400	55	455	13937.5
MX1	415	40	455	13937.5
RAB7A	390	65	455	13937.5
SNX14	325	130	455	13937.5
STK26	340	115	455	13937.5
TAF4	448	7	455	13937.5
TNFAIP8	287	168	455	13937.5
TPK1	428	27	455	13937.5
TUBGCP2	345	110	455	13937.5
WDR86	415	40	455	13937.5
KLRG1	440	14	454	13928
PRX	442	12	454	13928
TCF12	333	121	454	13928
CCDC81	393	60	453	13923
HIKESHI	393	60	453	13923
PIP4K2A	441	12	453	13923
POU1F1	426	27	453	13923
PRR15L	437	16	453	13923
ARHGAP4	364	88	452	13915
AVPR2	364	88	452	13915
CADM2	406	46	452	13915
GSTK1	428	24	452	13915
L1CAM	364	88	452	13915
MS4A3	408	44	452	13915
NAA10	364	88	452	13915
PITPNB	336	116	452	13915
TAMM41	416	36	452	13915
UACA	416	36	452	13915
ZPLD1	416	36	452	13915
PAX5	440	11	451	13906.5
SHMT1	343	108	451	13906.5
ASB15	355	95	450	13890.5
ATP11B	418	32	450	13890.5
C19orf54	429	21	450	13890.5
CAND2	423	27	450	13890.5
CAP1	420	30	450	13890.5
CHRNA2	252	198	450	13890.5
COX5A	390	60	450	13890.5
CPEB4	300	150	450	13890.5
ERVFRD-1	432	18	450	13890.5
FADS1	400	50	450	13890.5
HDAC2	375	75	450	13890.5
LONP2	408	42	450	13890.5
MIA	429	21	450	13890.5
MORF4L2	318	132	450	13890.5
MRPL43	360	90	450	13890.5
MTMR3	295	155	450	13890.5
NR1H3	432	18	450	13890.5
NR1H4	288	162	450	13890.5
ODF2L	366	84	450	13890.5
PRCP	412	38	450	13890.5
PRR13	330	120	450	13890.5
RPL17	348	102	450	13890.5
RTTN	390	60	450	13890.5
SLC25A39	370	80	450	13890.5
SNCAIP	276	174	450	13890.5
WDR72	365	85	450	13890.5
CLDN14	399	50	449	13876
MYT1L	421	28	449	13876
TBC1D3K	440	9	449	13876
ABHD16B	432	16	448	13863
ADCY7	364	84	448	13863
AGBL1	424	24	448	13863
APBB2	280	168	448	13863
ATP6V0E1	348	100	448	13863
BCS1L	371	77	448	13863
CELF6	412	36	448	13863
CEP19	422	26	448	13863
FGF2	376	72	448	13863
GATA4	172	276	448	13863
HEXA	412	36	448	13863
ICOSLG	424	24	448	13863
IFI27L1	264	184	448	13863
KRT20	444	4	448	13863
PARP6	412	36	448	13863
PDCD2	252	196	448	13863
REG4	436	12	448	13863
RPL26L1	348	100	448	13863
TCTN1	273	175	448	13863
TNFRSF13B	364	84	448	13863
VIT	441	7	448	13863
BORCS8	444	3	447	13844.5
DTWD1	393	54	447	13844.5
HAL	378	69	447	13844.5
LTA4H	378	69	447	13844.5
NUP155	438	9	447	13844.5
PIN1	429	18	447	13844.5
PRC1	417	30	447	13844.5
SNRPF	378	69	447	13844.5
TMEM161A	444	3	447	13844.5
ZNF512B	440	7	447	13844.5
EXOC3	442	4	446	13835.5
HAMP	436	10	446	13835.5
NLGN4X	284	162	446	13835.5
AIFM1	320	125	445	13827.5
F8	378	67	445	13827.5
GRK6	330	115	445	13827.5
GYPB	380	65	445	13827.5
LANCL2	440	5	445	13827.5
LYRM2	341	104	445	13827.5
MGAT1	320	125	445	13827.5
MTHFSD	235	210	445	13827.5
SHF	355	90	445	13827.5
SYNPO2	370	75	445	13827.5
TMEM53	420	25	445	13827.5
ADGRE5	426	18	444	13809.5
AGK	416	28	444	13809.5
AL096814.1	428	16	444	13809.5
ATP2A3	234	210	444	13809.5
CEBPG	438	6	444	13809.5
CLEC5A	416	28	444	13809.5
CYCS	435	9	444	13809.5
EEF1A2	428	16	444	13809.5
FGFR3	294	150	444	13809.5
GEMIN7	408	36	444	13809.5
GUCD1	306	138	444	13809.5
IL20RA	344	100	444	13809.5
ISCU	288	156	444	13809.5
KLK5	426	18	444	13809.5
LRRC8B	388	56	444	13809.5
MPP1	378	66	444	13809.5
MTRF1L	354	90	444	13809.5
NXPE3	396	48	444	13809.5
P2RX5	234	210	444	13809.5
SHBG	48	396	444	13809.5
SLC17A3	435	9	444	13809.5
TRAPPC6A	408	36	444	13809.5
UBXN7	418	26	444	13809.5
ZFYVE28	269	175	444	13809.5
TMEM151B	427	16	443	13796.5
WDR78	415	28	443	13796.5
FBXO45	416	26	442	13794
PTPA	255	187	442	13794
STRAP	426	16	442	13794
DYNLL1	207	234	441	13786
EFS	399	42	441	13786
FGD6	378	63	441	13786
JUP	411	30	441	13786
LARP4	333	108	441	13786
PGRMC2	343	98	441	13786
POPDC3	417	24	441	13786
SLC17A1	435	6	441	13786
SLC22A17	399	42	441	13786
SMAD9	360	81	441	13786
TPRG1	417	24	441	13786
TTC39A	385	56	441	13786
YIPF2	423	18	441	13786
BNIP3L	172	268	440	13772
BPHL	388	52	440	13772
CCAR2	95	345	440	13772
FAM118B	320	120	440	13772
INF2	348	92	440	13772
IPO8	438	2	440	13772
MAPK14	425	15	440	13772
MEGF11	396	44	440	13772
PBRM1	264	176	440	13772
PTPN5	410	30	440	13772
RNASE1	380	60	440	13772
TMEM179	348	92	440	13772
TMPRSS3	410	30	440	13772
VCX3B	304	136	440	13772
WNK3	344	96	440	13772
CACNA1D	308	131	439	13764
IL15	348	90	438	13760
KIAA1191	300	138	438	13760
NMT2	432	6	438	13760
NOP16	300	138	438	13760
NRP2	396	42	438	13760
RNF6	363	75	438	13760
TMED5	402	36	438	13760
AOC1	404	32	436	13749
C2orf74	432	4	436	13749
GABRB3	297	139	436	13749
MAP6D1	406	30	436	13749
MEIG1	432	4	436	13749
NEO1	400	36	436	13749
NOS3	404	32	436	13749
OLAH	432	4	436	13749
PEX13	432	4	436	13749
UGT2A1	404	32	436	13749
ZNF155	400	36	436	13749
ZNF596	208	228	436	13749
ZNF665	406	30	436	13749
ACSL5	370	65	435	13736
ANAPC10	360	75	435	13736
ARSE	348	87	435	13736
ASTN2	342	93	435	13736
CRISP2	399	36	435	13736
CRISP3	399	36	435	13736
OR2V1	310	125	435	13736
PRF1	405	30	435	13736
STXBP2	395	40	435	13736
TRIM7	310	125	435	13736
ZNF322	420	15	435	13736
ZNF442	417	18	435	13736
ZNF799	417	18	435	13736
CUL9	418	16	434	13727.5
IFT52	420	14	434	13727.5
NEK11	343	91	434	13727.5
RINL	422	12	434	13727.5
ADCY4	390	42	432	13705
ADD1	248	184	432	13705
ARL1	258	174	432	13705
ARRB2	152	280	432	13705
ASB9	312	120	432	13705
C9orf72	366	66	432	13705
CCDC32	261	171	432	13705
CDH8	328	104	432	13705
CFAP97D2	375	57	432	13705
CHMP4A	390	42	432	13705
CIDEB	390	42	432	13705
CUL7	416	16	432	13705
DTNB	368	64	432	13705
EMC9	390	42	432	13705
FBXO25	208	224	432	13705
ITGB1BP1	384	48	432	13705
JPH2	418	14	432	13705
KDM4D	357	75	432	13705
LINGO2	381	51	432	13705
LTB4R	390	42	432	13705
LTB4R2	390	42	432	13705
MARS	380	52	432	13705
METTL15	384	48	432	13705
OCEL1	417	15	432	13705
OR9I1	411	21	432	13705
PSMC6	408	24	432	13705
RABGGTA	390	42	432	13705
RAP1GDS1	366	66	432	13705
RPL18A	420	12	432	13705
RPS23	240	192	432	13705
SAA2	396	36	432	13705
SCLT1	342	90	432	13705
SETD5	396	36	432	13705
SPINK2	360	72	432	13705
SSBP2	240	192	432	13705
TDRP	208	224	432	13705
UPF3A	375	57	432	13705
VCAN	240	192	432	13705
ZNF614	410	22	432	13705
ZNF746	400	32	432	13705
NRXN3	280	151	431	13683
PDE11A	395	36	431	13683
UNC13A	419	12	431	13683
ADSSL1	338	92	430	13674
C6orf48	390	40	430	13674
COX4I1	235	195	430	13674
FAM111A	385	45	430	13674
MYMX	414	16	430	13674
NFKBIE	414	16	430	13674
PACSIN2	260	170	430	13674
RPS3A	335	95	430	13674
SGCZ	295	135	430	13674
SLC30A6	425	5	430	13674
ST8SIA2	410	20	430	13674
TCTE1	414	16	430	13674
TMEM63B	414	16	430	13674
TRIT1	405	25	430	13674
CDH20	372	57	429	13664.5
CTPS2	342	87	429	13664.5
HMGN1	402	27	429	13664.5
WRB	402	27	429	13664.5
DEDD2	396	32	428	13654
GTPBP2	412	16	428	13654
MAD2L1BP	412	16	428	13654
MRPS18A	412	16	428	13654
PAIP1	416	12	428	13654
POLH	412	16	428	13654
ROBO2	337	91	428	13654
RSPH9	412	16	428	13654
RUFY2	408	20	428	13654
SAMD10	421	7	428	13654
SLC35B3	408	20	428	13654
SSTR2	406	22	428	13654
THOC5	296	132	428	13654
TMEM267	416	12	428	13654
TMEM52B	414	14	428	13654
ZFP14	416	12	428	13654
ILK	350	77	427	13642
NR4A1	343	84	427	13642
ROPN1	343	84	427	13642
SEC63	398	29	427	13642
STAT6	336	91	427	13642
TLE2	343	84	427	13642
ZMYM3	287	140	427	13642
ABCB7	264	162	426	13631.5
B4GAT1	419	7	426	13631.5
CDK17	345	81	426	13631.5
COQ10B	405	21	426	13631.5
DHX36	396	30	426	13631.5
DNAJC6	405	21	426	13631.5
HSPE1	405	21	426	13631.5
KCNC3	408	18	426	13631.5
NABP1	411	15	426	13631.5
PRSS2	404	22	426	13631.5
SETD3	338	88	426	13631.5
ZNF33A	414	12	426	13631.5
BIRC2	285	140	425	13618.5
COL12A1	325	100	425	13618.5
COX7A2	325	100	425	13618.5
CXADR	405	20	425	13618.5
FLNA	315	110	425	13618.5
HDAC7	375	50	425	13618.5
HLA-DQB1	405	20	425	13618.5
KLF7	365	60	425	13618.5
MAN2C1	380	45	425	13618.5
SELENOF	355	70	425	13618.5
TAZ	315	110	425	13618.5
TDRD3	280	145	425	13618.5
ACAP2	400	24	424	13603
ADIPOQ	390	34	424	13603
BNIP1	324	100	424	13603
CBR1	384	40	424	13603
CLEC12B	402	22	424	13603
CNPY1	384	40	424	13603
ERVK3-1	380	44	424	13603
ETV5	394	30	424	13603
MRM1	410	14	424	13603
POU5F1	392	32	424	13603
PPP1R2	400	24	424	13603
PPP1R32	384	40	424	13603
RBM33	384	40	424	13603
RBMX	332	92	424	13603
SPATS1	408	16	424	13603
TMSB4X	312	112	424	13603
TRMT11	380	44	424	13603
UMODL1	384	40	424	13603
ZBTB7C	352	72	424	13603
C3orf52	390	33	423	13591
CHD6	393	30	423	13591
HDDC2	357	66	423	13591
LSM8	375	48	423	13591
UBE3C	384	39	423	13591
CD83	408	14	422	13584
CSMD2	368	54	422	13584
FFAR2	412	10	422	13584
FFAR3	412	10	422	13584
GPR42	412	10	422	13584
OSER1	408	14	422	13584
SLC35F1	372	50	422	13584
SLC47A2	362	60	422	13584
STEAP1B	412	10	422	13584
HS6ST3	363	58	421	13579
ARL15	320	100	420	13556
ARMC10	342	78	420	13556
BTBD17	398	22	420	13556
CD274	376	44	420	13556
CGREF1	392	28	420	13556
DUOXA1	294	126	420	13556
DUT	312	108	420	13556
FAM149A	258	162	420	13556
FBXL13	342	78	420	13556
FUT3	388	32	420	13556
GMPPA	354	66	420	13556
GRIK1	336	84	420	13556
HNRNPL	408	12	420	13556
IDI1	414	6	420	13556
ISYNA1	417	3	420	13556
JARID2	406	14	420	13556
LAMP3	388	32	420	13556
LARP4B	414	6	420	13556
LPAR2	417	3	420	13556
MDFIC	340	80	420	13556
MPC1	304	116	420	13556
MSH6	414	6	420	13556
MUC15	390	30	420	13556
PES1	280	140	420	13556
PNCK	315	105	420	13556
PRKG2	376	44	420	13556
PRR26	414	6	420	13556
PSMD10	310	110	420	13556
PUM1	364	56	420	13556
RNF4	264	156	420	13556
RPS15	260	160	420	13556
SEC14L3	280	140	420	13556
SEMA6A	290	130	420	13556
SMIM29	396	24	420	13556
SNAP23	287	133	420	13556
SPEG	354	66	420	13556
TACR2	399	21	420	13556
TAF15	399	21	420	13556
TAF1C	225	195	420	13556
TCF7	240	180	420	13556
TMPRSS7	390	30	420	13556
TNKS	142	278	420	13556
UBA1	360	60	420	13556
ZNF101	417	3	420	13556
BBOX1	387	32	419	13532
MAK16	365	54	419	13532
NAALADL2	397	22	419	13532
CHCHD1	408	10	418	13525
CPN2	394	24	418	13525
FUT11	408	10	418	13525
METTL1	392	26	418	13525
MYCT1	358	60	418	13525
PLAU	408	10	418	13525
RWDD1	372	46	418	13525
SEC24C	408	10	418	13525
SEPT14	413	5	418	13525
TRAK1	278	140	418	13525
YIPF3	402	16	418	13525
ASF1B	399	18	417	13516
CBLC	390	27	417	13516
CD200	390	27	417	13516
